Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.62483287,0.001693005,68.24638,6.8246384,5502558.5,616994.5,16459.496,-16493.703,16772.188,-315.10126,-79439.56,-16149.432,16630.527,833.5685,-80139.0,7.102621,2.7065504,16.902245,-2.3442924,1.8866963,2.0906832,7.838335,-8.730938,-1.1170487,0.8555046,0.90262705,-3.316915,0.3135113,0.0013099562,-15110.229293689057,-13221.777047674826,-18630.96121088938,22000,46206,0,122.54252721099965,83.55571940800019,207.02783455199733,413.12608117099717,4689.282113069001,10
0.5977436,0.001823701,59.219574,5.9219575,5362459.5,472326.34,21974.652,-21811.547,20068.059,-282.26157,-76790.71,-21857.951,20018.139,511.58145,-76720.86,7.7178707,3.0742476,21.799145,-6.167736,2.1225567,2.1885703,6.5634804,-17.380573,-1.054594,0.7631317,0.6189662,-3.3673437,0.42903703,0.0012855461,-15100.589771241468,-13844.173405171327,-27990.60248948903,24000,50209,0,113.99242480400062,87.6955754010005,207.40230828999938,409.0903084950005,5098.796769675003,11
0.63021564,0.0017612443,63.883667,6.3883667,6904394.5,485939.47,22081.072,-21930.121,21657.816,-150.41429,-80913.516,-21925.018,21689.252,618.49963,-81083.97,7.790804,3.1709602,20.99637,-2.3094263,2.1104267,2.1841137,8.326583,-13.568872,-1.1565435,0.90857583,0.84545124,-3.7839785,0.5508055,0.0014045706,-15090.65755359383,-13859.236614658439,-11739.441726706893,26000,54210,0,122.46459063600014,88.11923715900048,207.38862825399792,417.97245604899854,5511.431982579001,12
0.61695814,0.0015704285,70.28273,7.028273,8054552.0,608255.06,19541.723,-19686.86,20850.928,-199.87524,-87929.31,-19852.938,20899.066,594.79376,-88495.055,7.50978,3.224457,21.250114,-0.8209214,1.7242951,2.3662674,8.848436,-12.918877,-1.2261584,0.88652104,0.83179563,-3.6477299,0.22313575,0.0010617406,-14563.211526953317,-21706.46856799312,-12549.647480216612,28000,58211,0,120.68607777899979,82.78237940899999,206.62532692700097,410.09378411500074,5924.429979080001,13
0.6679875,0.0013941017,76.65842,7.6658416,18298268.0,735243.94,21631.348,-21705.873,22760.826,-202.79312,-93030.6,-21631.23,22666.805,503.97144,-92137.59,7.2594433,2.9645095,24.161636,-3.564957,1.6226245,2.3992665,7.67247,-15.809166,-1.1632226,0.89695257,0.9004264,-3.344006,0.49777508,0.00093150773,-14498.31957162895,-21480.987803262968,-25105.23884670096,30000,62211,0,121.4664057609998,85.68676458699974,205.47585672499918,412.6290270729987,6343.4527022679995,14
0.41061312,0.0015323266,63.453876,6.345388,16906738.0,507950.47,26392.406,-26247.469,26725.488,-298.99167,-96832.375,-26010.729,26219.3,-14.708382,-95794.266,7.4014664,3.3995285,23.779297,-2.8266125,1.7245805,2.3725927,10.861753,-13.3179,-1.2717187,0.84413743,0.424673,-3.5453334,0.42199916,0.0011539665,-15107.705939599631,-19861.11405017267,-18195.18368953849,32000,66211,0,136.04512005800007,92.08055097400029,208.8752688200002,437.00093985200056,6777.757576485999,15
0.49278417,0.0012584405,62.466915,6.2466917,53553708.0,715335.6,27833.033,-27832.46,26735.89,-641.72577,-98122.5,-27899.434,26261.82,-276.76178,-96645.98,7.9083657,3.2711134,22.612286,-7.9673786,1.1266456,2.8971143,11.9639,-17.24329,-1.3615497,1.0866221,1.9579508,-3.9355185,0.23343559,0.0012888061,-12697.361751074592,-18523.924239658827,-6794.936446515536,34000,70211,0,130.7519591499995,89.3853853189994,209.1796575999988,429.3170020689977,7203.7704354649995,16
0.22798303,0.0018179944,55.82357,5.582357,32139916.0,1078818.5,25968.768,-25928.027,25549.809,511.14243,-96375.85,-25682.879,25486.436,96.96371,-96106.695,7.7898417,2.920944,23.096455,-1.8815622,1.1910106,2.801354,10.214072,-17.084263,-1.2940304,0.9754385,0.7994045,-3.5989594,0.22670993,0.0010582934,-10668.917179891787,-14806.963559982069,-18112.893314016903,36000,74213,0,119.9932604960004,86.08059053600027,206.9509513289995,413.0248023610002,7620.948308386001,17
0.41440868,0.0014546716,60.52124,6.052124,30699610.0,710709.9,30873.604,-30900.809,29020.322,370.30673,-99133.62,-31029.031,28691.346,-220.60928,-97368.51,7.6026106,3.60878,23.293314,-4.091352,1.0319346,3.040098,16.59222,-20.475548,-1.2535927,0.8082536,2.0,-4.0671043,0.25413856,0.0011325615,-12123.364952436163,-17369.443138614006,-18473.372700170905,38000,78289,0,131.3326048910003,90.233803395,211.24823442900015,432.81464271500045,8052.636698763999,18
0.20707425,0.0017696994,55.06692,5.5066924,58953390.0,451695.84,29278.328,-29445.2,25986.361,388.38535,-97437.17,-29580.262,26180.736,502.42743,-98764.15,7.600524,3.1568701,21.907291,-0.82056034,0.60157794,3.4601433,16.02595,-25.391525,-1.3410635,1.0751336,2.0,-3.6927083,0.57823247,0.0010858923,-15290.038325898247,-12004.102784793644,-11268.739999785428,40000,82289,0,113.7440893969997,89.1084613109997,206.44644015400354,409.29899086200294,8455.840566208,19
0.57330054,0.0015759323,70.72378,7.0723777,45129410.0,305328.7,27960.56,-27899.059,26220.412,613.2846,-101607.805,-28071.268,26159.555,-212.83835,-100551.18,7.8862014,3.9478498,25.941635,-1.0083647,0.7434316,4.5965953,21.83263,-39.70887,-1.3029093,1.1477433,2.0,-3.6542692,0.6288202,0.0012097077,-15301.20939689149,-19969.899329617536,-8098.8124771204375,42000,86290,0,121.64130524699976,83.01271951499984,205.90963086299962,410.5636556249992,8867.919838601005,20
0.64452505,0.0013075874,76.87572,7.687572,13310432.0,589112.56,32105.387,-32001.02,28655.334,-76.47769,-103148.29,-31827.436,28755.092,-30.419146,-102001.63,8.185328,4.5571656,25.235735,-2.7260838,0.047813326,5.8101964,10.611595,-47.41194,-1.3212857,1.1718923,2.0,-3.9876037,0.3471087,0.0010662404,-11972.75486289097,-15703.167738626933,-8786.985547935814,44000,90401,0,120.55570217199966,84.52845577799962,214.28505690999918,419.36921485999846,9287.072107678001,21
0.5285415,0.0006745182,71.856926,7.185693,49261464.0,1195737.2,30721.998,-30675.086,26629.486,594.1944,-101623.87,-31252.25,27265.354,-432.90582,-102764.414,9.003969,4.395164,27.00623,-3.0805552,-0.09892586,5.0379615,21.542217,-45.268898,-1.3278875,1.1089782,2.0,-3.4555085,0.41175762,0.00093519455,-10400.84665584973,-16642.467975745596,-5160.0532311386005,46000,94402,0,135.40209515199967,84.31251849700129,207.81922583100095,427.5338394800019,9714.216016983,22
0.322216,0.0007007887,70.072784,7.0072784,19836642.0,408502.75,28652.89,-28739.828,25861.531,750.80896,-104062.49,-28498.035,25738.674,-116.36376,-102819.07,8.707226,4.582789,25.772614,-1.3911183,-0.37059623,5.6080103,26.816013,-53.141235,-1.2277575,1.0986391,2.0,-4.019138,0.5873521,0.0011785104,-15124.117099720645,-16935.670758829605,-9357.771318739424,48000,98543,0,121.20787866499995,83.9220611089986,215.91447988799882,421.0444196619974,10133.559368907,23
0.50115883,0.0013018813,68.447655,6.8447657,33618960.0,1500320.5,28352.502,-28554.184,26500.59,505.70023,-109342.28,-28950.098,26841.412,219.91513,-110740.81,7.582676,4.7156944,25.12434,-6.555746,-0.4417283,5.3588414,21.7602,-54.86785,-1.5206246,1.1537907,2.0,-4.471447,0.48037434,0.000990784,-12178.709707410457,-13878.021773050594,-12895.947909921983,50000,102544,0,123.62704607900014,82.22186492500077,207.85031172099661,413.6992227249975,10550.700689337997,24
0.45869964,0.00078897097,70.34172,7.034172,38011430.0,617264.3,32248.943,-32325.102,29549.244,347.80865,-113210.09,-32213.488,29609.787,-500.32065,-110221.93,7.513382,4.7405086,28.818819,-1.7321705,-0.30077586,5.0656514,46.937134,-43.763695,-1.6588397,1.2337375,2.0,-3.987146,0.68698746,0.0012830716,-11488.190848324899,-14396.072954733769,-5794.094228024807,52000,106646,0,132.1209994059991,85.66362680700149,212.71472210600223,430.4993483190028,10977.622975217997,25
0.55387586,0.0010201281,67.88993,6.7889934,59936400.0,1012911.9,32973.094,-32962.02,29609.455,492.38248,-125828.49,-32455.326,29042.684,-473.86826,-125012.5,8.363124,4.9260864,26.092587,-1.505019,0.05041632,5.3672504,53.70371,-38.36062,-1.4140899,1.1770086,2.0,-4.5610323,0.7251365,0.0009653503,-12890.118232637766,-15929.863157470285,-20904.41741357885,54000,110841,0,116.02806365299875,82.08727422000084,216.07921059900036,414.19454847199995,11398.714303839995,26
